"_id","pk_teuna_fikt","sug_tik","THUM_GEOGRAFI","SUG_DEREH","SEMEL_YISHUV","REHOV1","REHOV2","BAYIT","ZOMET_IRONI","KVISH1","KVISH2","KM","ZOMET_LO_IRONI","YEHIDA","SHNAT_TEUNA","HODESH_TEUNA","SHAA","SUG_YOM","YOM_LAYLA","YOM_BASHAVUA","HUMRAT_TEUNA","SUG_TEUNA","HAD_MASLUL","RAV_MASLUL","MEHIRUT_MUTERET","TKINUT","ROHAV","SIMUN_TIMRUR","TEURA","MEZEG_AVIR","PNE_KVISH","SUG_EZEM","MERHAK_EZEM","LO_HAZA","OFEN_HAZIYA","MEKOM_HAZIYA","KIVUN_HAZIYA","MAHOZ","NAFA","EZOR_TIVI","MAAMAD_MINIZIPALI","ZURAT_ISHUV","STATUS_IGUN","X","Y"
"70","2021000478","1","2","4","0",,,,,"60","0","615",,"43","2021","2","31","4","1","6","1","3","2","0","2","1","2","3","1","2","2","6","2","9","0","0","9","7","77","777","99","99","1","211122","610696"
"71","2021000482","1","1","3","0",,,,,"6","35","784","4179","38","2021","10","33","4","1","3","3","2","0","3","7","1","3","3","1","1","1","9","9","9","0","0","9","6","61","612","99","99","1","182323","612012"
"72","2021000485","1","1","2","2300","190",,"9999",,,,,,"12","2021","12","57","4","1","1","3","1","3","0","1","1","3","1","1","1","1","9","9","9","3","3","9","3","31","311","99","17","3","211185","734972"
"73","2021000488","1","1","2","7900","437",,"17",,,,,,"51","2021","7","14","4","5","5","3","3","3","0","1","1","3","3","3","1","1","9","9","9","0","0","9","4","42","422","0","13","1","190742","667304"
"74","2021000490","1","1","1","3000","1714","1786",,"12730533",,,,,"61","2021","11","36","4","1","1","3","1","1","0","1","1","3","3","1","1","1","9","9","9","3","4","1","1","11","111","0","12","1","220970","629028"
"75","2021000500","1","1","1","2630","421","180",,"8590233",,,,,"38","2021","9","37","4","1","3","3","2","3","0","1","1","2","3","1","1","1","9","9","9","0","0","9","6","61","612","0","15","1","179204","610645"
"76","2021000502","1","1","4","0",,,,,"6403","0","186",,"12","2021","7","40","4","1","6","3","2","3","0","4","1","3","4","1","1","1","9","9","9","0","0","9","3","32","324","99","99","1","200381","707269"
"77","2021000509","1","1","2","9100","411",,"55",,,,,,"12","2021","6","67","4","1","4","3","2","3","0","1","1","4","3","1","1","1","9","9","9","0","0","9","2","24","245","0","15","1","209050","768109"
"78","2021000510","1","1","2","1095",,,"9999",,,,,,"34","2021","4","58","2","1","6","1","1","3","0","1","1","2","4","1","1","1","9","9","9","1","2","1","6","62","621","39","31","2","155896","593550"
"79","2021000528","1","1","1","70","145","126",,"7710005",,,,,"38","2021","7","56","4","1","1","3","2","3","0","1","1","3","3","1","1","1","9","9","9","0","0","9","6","61","613","0","13","1","167033","635039"
"80","2021000533","1","1","2","6200","521",,"22",,,,,,"20","2021","6","71","4","1","1","2","4","1","0","1","1","2","3","1","1","1","9","9","9","0","0","9","5","51","513","0","14","1","176966","657489"
"81","2021000551","1","1","2","2018",,,"9999",,,,,,"51","2021","10","65","4","1","5","3","5","3","0","1","1","3","3","1","1","1","9","9","9","0","0","9","4","41","411","16","33","2","193839","700642"
"82","2021000554","1","1","2","4000","337",,"21",,,,,,"11","2021","10","27","4","5","4","3","10","1","0","1","1","3","4","6","1","1","9","9","9","0","0","9","3","31","311","0","13","1","200216","746878"
"83","2021000562","1","2","4","0",,,,,"5055","0","48",,"41","2021","3","76","4","5","5","3","4","3","0","4","2","3","1","5","1","1","9","9","9","0","0","9","7","77","777","99","99","1","231249","661893"
"84","2021000583","1","1","1","4000","865","858",,"60525",,,,,"11","2021","9","55","4","1","1","3","3","0","5","1","1","3","3","1","1","1","9","9","9","0","0","9","3","31","311","0","13","1","200225","746524"
"85","2021000584","1","1","2","70","480",,"9999",,,,,,"38","2021","9","77","4","5","5","3","5","2","0","1","1","2","3","3","1","1","9","9","9","0","0","9","6","61","613","0","13","3","166978","636744"
"86","2021000585","1","1","2","3000","7001",,"9999",,,,,,"61","2021","9","57","4","1","2","2","2","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","1","11","111","0","12","3","223089","634944"
"87","2021000595","1","1","4","0",,,,,"99","0","41",,"12","2021","3","64","4","1","3","3","2","3","0","1","1","2","3","1","9","1","9","9","9","0","0","9","2","21","211","99","99","1","257844","792128"
"88","2021000597","1","1","4","0",,,,,"85","0","174",,"12","2021","8","8","4","5","7","3","2","3","0","1","1","2","3","3","1","1","9","9","9","0","0","9","2","24","242","99","99","1","224824","757990"
"89","2021000604","1","1","3","0",,,,,"57","562","85","10765","51","2021","7","83","4","5","6","3","4","0","2","4","1","3","3","3","1","1","9","9","9","0","0","9","4","41","411","99","99","1","195903","691407"
"90","2021000618","1","1","4","0",,,,,"293","0","6",,"34","2021","8","47","4","1","3","3","2","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","6","62","621","99","99","1","163228","591980"
"91","2021000635","1","1","1","5000","2601","2604",,"18110921",,,,,"20","2021","7","44","4","1","5","3","4","3","0","1","1","0","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","1","181746","663189"
"92","2021000638","1","2","1","3616","130","140",,"130097",,,,,"43","2021","11","56","4","1","2","3","1","0","2","1","1","2","3","1","1","1","9","9","9","3","3","2","7","77","777","0","16","1","228103","631434"
"93","2021000639","1","1","4","0",,,,,"886","0","422",,"12","2021","6","66","4","1","3","2","5","3","0","4","1","3","3","1","1","1","9","9","9","0","0","9","2","21","212","99","99","1","245417","768078"
"94","2021000665","1","1","2","8300","641",,"9999",,,,,,"52","2021","1","47","4","1","5","2","1","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","4","44","442","0","13","3","183708","650502"
"95","2021000671","1","1","1","7400","607","1260",,"10490001",,,,,"51","2021","2","60","4","1","6","3","2","0","3","1","1","3","3","1","1","1","9","9","9","0","0","9","4","41","411","0","13","1","187974","690982"
"96","2021000674","1","1","4","0",,,,,"90","0","4405",,"12","2021","9","30","3","1","1","3","3","1","0","5","1","4","3","11","1","1","9","9","9","0","0","9","2","21","213","99","99","1","251620","763423"
"97","2021000683","1","1","1","5000","537","404",,"7630325",,,,,"20","2021","1","54","4","1","6","3","2","3","0","1","1","2","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","1","178850","665767"
"98","2021000688","1","1","4","0",,,,,"7","0","118",,"52","2021","7","13","4","5","7","2","11","9","0","0","0","0","5","6","9","9","9","9","9","0","0","9","4","44","441","99","99","1","177889","634714"
"99","2021000692","1","1","4","0",,,,,"581","0","204",,"12","2021","7","4","4","5","4","3","2","3","0","4","1","4","3","3","1","1","9","9","9","0","0","9","3","32","324","99","99","1","201865","704614"
"100","2021000698","1","1","4","0",,,,,"553","0","128",,"51","2021","2","29","1","1","6","3","15","0","2","2","1","2","3","1","1","1","2","2","9","0","0","9","4","41","411","99","99","1","196794","685798"
"101","2021000732","1","1","2","5000","2465",,"9999",,,,,,"20","2021","4","71","4","1","2","3","3","1","0","3","1","3","3","1","1","1","9","9","9","0","0","9","5","51","511","0","13","3","179705","661550"
"102","2021000736","1","1","1","8600","719","722",,"130123",,,,,"20","2021","4","40","4","1","4","3","2","3","0","1","1","3","3","1","1","1","9","9","9","0","0","9","5","51","512","0","14","1","182879","665244"
"103","2021000746","1","1","1","4000","1161","522",,"14600314",,,,,"11","2021","6","45","4","1","1","2","3","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","3","31","311","0","13","1","198360","748333"
"104","2021000749","1","1","1","7900","1248","1201",,"11370031",,,,,"51","2021","7","67","4","1","3","3","2","3","0","1","1","2","3","1","1","1","9","9","9","0","0","9","4","42","422","0","13","1","187922","665292"
"105","2021000764","1","1","3","0",,,,,"44","0","378","3691","20","2021","10","6","4","5","2","3","3","1","0","3","1","4","3","3","1","1","9","9","9","0","0","9","5","51","513","99","99","1","181022","659513"
"106","2021000782","1","1","2","2640","430",,"12",,,,,,"51","2021","11","51","4","1","2","3","2","3","0","1","1","2","3","1","1","1","9","9","9","0","0","9","4","42","422","0","15","3","197090","665704"
"107","2021000795","1","1","1","7900","156","1174",,"99970483",,,,,"51","2021","3","72","4","5","3","3","2","0","2","1","1","3","3","6","1","1","9","9","9","0","0","9","4","42","422","0","13","1","186798","665691"
"108","2021000819","1","1","1","2650","151","155",,"22130029",,,,,"20","2021","6","67","4","1","3","3","1","1","0","1","1","3","3","1","1","1","9","9","9","3","3","2","5","51","511","0","16","1","185614","671292"
"109","2021000835","1","1","2","8600","1726",,"56",,,,,,"20","2021","2","60","4","1","5","2","1","3","0","1","1","1","2","1","1","1","9","9","9","3","3","1","5","51","512","0","14","1","183652","662438"
"110","2021000854","1","1","1","9000","1422","616",,"14920523",,,,,"34","2021","9","51","2","1","2","3","2","0","3","2","1","3","3","1","1","1","9","9","9","0","0","9","6","62","623","0","13","1","182986","570640"
"111","2021000860","1","1","3","0",,,,,"4","8919","2448","469","12","2021","7","17","4","5","5","2","10","3","0","3","1","2","3","3","1","1","9","9","9","0","0","9","2","24","245","99","99","1","210250","772267"
"112","2021000877","1","1","3","0",,,,,"2","57","438","79","51","2021","6","70","4","1","1","3","4","0","3","5","1","3","3","1","1","1","9","9","9","0","0","9","4","41","411","99","99","1","187743","692414"
"113","2021000888","1","1","3","0",,,,,"20","0","85","8064","20","2021","11","83","4","5","3","2","3","1","0","1","1","3","3","3","1","1","9","9","9","0","0","9","5","51","513","99","99","1","177524","658992"
"114","2021000890","1","1","2","5000","3012",,"4",,,,,,"20","2021","11","65","4","1","4","3","1","3","0","1","1","1","3","1","1","1","9","9","9","3","2","9","5","51","511","0","13","1","178154","660870"
"115","2021000891","1","1","2","5000","2632",,"9999",,,,,,"20","2021","5","52","4","1","3","3","1","3","0","1","1","1","3","1","1","1","9","9","9","3","3","2","5","51","511","0","13","3","180903","662211"
"116","2021000900","1","1","2","502",,,"9999",,,,,,"12","2021","2","59","4","1","2","3","8","3","0","1","1","3","3","1","9","1","5","1","9","0","0","9","2","24","243","99","27","2","219750","762230"
"117","2021000906","1","1","4","0",,,,,"652","0","105",,"12","2021","3","67","4","1","4","3","2","0","1","4","1","3","3","1","1","1","9","9","9","0","0","9","3","32","324","99","99","1","196438","712560"
"118","2021000917","1","1","1","7400","1015","1022",,"9890314",,,,,"51","2021","7","57","4","1","5","2","1","0","2","1","1","2","3","1","1","1","9","9","9","3","4","1","4","41","411","0","13","1","187177","687759"
"119","2021000921","1","2","2","3730","317",,"2",,,,,,"43","2021","5","96","4","5","2","3","7","3","0","1","1","1","3","3","1","1","9","9","9","0","0","9","7","77","777","99","16","1","215443","641184"
"120","2021000923","1","1","1","8600","205","802",,"9470113",,,,,"20","2021","5","49","4","1","3","3","1","1","0","1","0","2","3","1","1","1","9","9","9","3","4","9","5","51","512","0","14","1","182680","666203"
"121","2021000924","1","1","2","1309","111",,"23",,,,,,"51","2021","10","55","4","1","1","2","1","9","0","0","0","0","5","11","9","9","9","9","9","0","0","9","4","42","422","0","16","1","195596","661654"
